City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,71.65,76,56,22.77,PN,1723158193
1,albany,42.6001,-73.9662,65.26,75,99,3.0,US,1723157591
2,fortuna,40.5982,-124.1573,68.94,78,20,14.97,US,1723158196
3,grytviken,-54.2811,-36.5092,4.15,76,17,15.7,GS,1723158198
4,bredasdorp,-34.5322,20.0403,55.58,78,80,26.93,ZA,1723158200
5,afaahiti,-17.75,-149.2833,75.87,86,32,11.61,PF,1723158203
6,ribeira grande,38.5167,-28.7,73.78,80,0,5.99,PT,1723158204
7,port moresby,-9.4431,147.1797,80.02,74,75,11.5,PG,1723158206
8,poronaysk,49.2167,143.1167,60.19,100,99,9.06,RU,1723158208
9,margaret river,-33.95,115.0667,59.85,79,71,11.34,AU,1723158210
10,ushuaia,-54.8,-68.3,40.66,81,75,3.44,AR,1723158030
11,port-aux-francais,-49.35,70.2167,35.83,74,87,20.45,TF,1723158213
12,okhotsk,59.3833,143.3,64.83,63,7,5.77,RU,1723158215
13,yellowknife,62.456,-114.3525,73.92,49,20,15.01,CA,1723158087
14,the dalles,45.5946,-121.1787,99.23,26,63,5.99,US,1723158219
15,shalkar,47.8288,59.6258,69.46,70,16,6.82,KZ,1723158220
16,enewetak,11.3474,162.3373,84.31,75,20,14.61,MH,1723158222
17,tayzhina,53.6679,87.4362,60.39,98,100,3.83,RU,1723158224
18,puerto baquerizo moreno,-0.9,-89.6,72.59,83,40,14.97,EC,1723158226
19,gering,41.8258,-103.6605,64.53,81,100,5.99,US,1723158228
20,amos,48.5669,-78.1162,71.17,58,77,5.26,CA,1723158116
21,saryozek,44.3583,77.9753,71.1,28,0,5.53,KZ,1723158231
22,invercargill,-46.4,168.35,43.02,98,54,1.99,NZ,1723158233
23,blackmans bay,-43.0167,147.3167,53.53,72,72,3.0,AU,1723158235
24,sao gabriel da cachoeira,-0.1303,-67.0892,81.7,72,77,1.79,BR,1723158236
25,tolanaro,-25.0319,46.9987,68.07,88,20,26.46,MG,1723158239
26,ancud,-41.8697,-73.8203,45.82,79,100,4.94,CL,1723158082
27,lihue,21.9789,-159.3672,83.79,67,20,11.5,US,1723158242
28,tippi,7.2,35.45,65.1,97,93,1.7,ET,1723158244
29,anadyr,64.75,177.4833,46.9,75,75,6.71,RU,1723158246
30,aginskoye,51.1,114.53,61.61,80,36,2.75,RU,1723158247
31,rikaze,29.25,88.8833,46.31,88,100,3.36,CN,1723158249
32,edinburgh of the seven seas,-37.0676,-12.3116,58.41,94,100,35.88,SH,1723158251
33,hawaiian paradise park,19.5933,-154.9731,83.88,70,20,8.05,US,1723158253
34,igarka,67.4667,86.5833,50.34,70,95,10.87,RU,1723158254
35,island harbour,50.724,-1.2758,65.98,95,100,7.0,GB,1723158256
36,kodiak,57.79,-152.4072,56.71,67,100,10.36,US,1723158258
37,west island,-12.1568,96.8225,78.78,83,35,19.57,CC,1723158261
38,san patricio,28.017,-97.5169,93.65,45,0,12.95,US,1723158263
39,lata,40.1629,-8.3327,57.58,97,2,1.92,PT,1723158265
40,kintampo,8.0563,-1.7306,72.79,83,77,7.65,GH,1723158268
41,xiaoweizhai,26.1903,107.5125,73.38,96,88,4.03,CN,1723158270
42,tafuna,-14.3358,-170.72,77.77,72,81,22.59,AS,1723158272
43,lompoc,34.6391,-120.4579,66.52,72,0,18.41,US,1723158274
44,brisas de zicatela,15.8369,-97.0419,81.12,89,100,11.5,MX,1723158276
45,thompson,55.7435,-97.8558,64.56,52,75,11.5,CA,1723158278
46,salinopolis,-0.6136,-47.3561,80.42,81,0,12.15,BR,1723158279
47,abak,4.9797,7.7917,73.11,95,96,3.11,NG,1723158281
48,waitangi,-43.9535,-176.5597,53.82,84,91,10.0,NZ,1723158283
49,melendugno,40.2747,18.3368,79.27,79,26,11.07,IT,1723158285
50,fale old settlement,-9.3852,-171.2468,82.8,75,100,16.96,TK,1723158287
51,yugorsk,61.3133,63.3319,52.41,72,73,1.68,RU,1723158289
52,bethel,41.3712,-73.414,66.6,91,100,6.93,US,1723158290
53,grand falls-windsor,48.9332,-55.6649,59.04,63,74,9.46,CA,1723158292
54,naze,28.3667,129.4833,82.63,76,0,4.56,JP,1723158294
55,east grand forks,47.93,-97.0245,64.44,65,100,18.41,US,1723158295
56,uliastay,47.7417,96.8444,54.19,58,100,4.14,MN,1723158297
57,hermanus,-34.4187,19.2345,56.53,82,93,34.72,ZA,1723158299
58,malpe,13.35,74.7167,75.2,94,99,5.37,IN,1723158301
59,tiksi,71.6872,128.8694,41.38,90,100,12.8,RU,1723158303
60,nar'yan-mar,67.6713,53.087,43.05,84,21,4.23,RU,1723158307
61,mejit,10.2753,170.8646,82.99,79,98,18.5,MH,1723158309
